Time,S,T,T1,P,V,I
13:55,372,"32,1","37,1","1899,14562064277","620,513963451164","3,06060094132312"
13:59,345,"31,9","36,9","1753,69224663859","622,729278490275","2,8161390626922"
14:05,435,"31,9","36,9","2235,09564592465","615,470106289256","3,63152592316841"
14:10,487,"33,2","38,2","2512,48326594423","634,854379190683","3,95757412770337"
14:15,587,"34,4","39,4","3036,95893710833","642,480519481654","4,72692765775765"
14:19,595,"36,7","41,7","3072,22565376806","637,618108571006","4,81828482044426"
14:25,784,"38,4","43,4","4085,18451447864","622,505903083776","6,56248317363966"
14:30,617,40,45,"3187,32723380676","603,122907597324","5,28470597560985"
14:34,561,40,45,"2879,42426906815","629,585034390313","4,57352718343531"
14:39,434,"38,4","43,4","2204,88204964035","628,8087549662","3,50644298799382"
14:45,490,"37,2","42,2","2509,49261418937","633,007832762744","3,96439425281162"
14:50,483,"37,2","42,2","2467,05701144159","593,853821137059","4,15431697773348"
14:54,443,"36,6","41,6","2263,07248769339","599,092563796845","3,77750054741258"
15:00,388,"36,1","41,1","1977,98813505302","614,356015777649","3,21961221873818"
15:05,380,"35,8","40,8","1927,29467855267","627,451171959757","3,07162495614285"
15:09,387,"34,9","39,9","1966,85528566865","629,736483311849","3,12329893184012"
15:14,421,"34,5","39,5","2145,8883659295","599,210303915269","3,58119403472899"
15:20,474,"35,4","40,4","2437,43200132837","629,322515703513","3,87310471261877"
15:25,333,"35,4","40,4","1683,73757474022","613,923372427614","2,74258588345037"
15:29,349,"34,2","39,2","1772,03860827132","615,338327478541","2,87977934924445"
15:35,475,"34,2","39,2","2438,60687437117","605,705827638423","4,02605813432408"
15:40,488,"35,8","40,8","2512,21052602115","628,438258295909","3,99754549131578"
15:45,532,"38,3","43,3","2727,52825693741","633,832096771144","4,30323467497455"
15:49,388,39,44,"1971,89046545107","601,843082483794","3,27641958982584"
15:55,466,"37,7","42,7","2379,88711679484","630,740428799957","3,77316405945755"
16:00,282,37,42,"1405,71532845684","586,890529563817","2,39519170551548"
16:04,248,"34,4","39,4","1232,08411121483","603,354844580712","2,04205555367843"
16:09,276,"32,7","37,7","1382,77386875835","603,615892630127","2,29081753088576"
16:15,232,"32,3","37,3","1144,54032247767","618,009472030038","1,851978609192"
16:20,200,32,37,"974,274898061277","615,631708883605","1,58256126837268"
16:24,202,"30,8","35,8","992,461404390817","601,962811622781","1,64870883255283"
16:30,182,"30,3","35,3","886,341920686233","606,340050753524","1,4617901614527"
16:35,168,"29,9","34,9","813,273374422842","604,223656969621","1,3459806895044"
16:39,188,"29,8","34,8","918,755573405505","607,116469896514","1,51331024434589"
16:44,198,"29,6","34,6","972,43298076534","603,224804130634","1,61205735259313"
16:50,182,"30,1","35,1","886,823633353638","605,678997542281","1,46418092248895"
16:55,154,"29,5","34,5","738,937107708103","606,152133497559","1,21906212462598"
16:59,131,"28,9","33,9","620,804261047906","599,841283386778","1,03494754069405"
17:05,135,"28,9","33,9","643,422105558351","582,265016222099","1,1050330822433"
17:10,121,"28,3","33,3","569,547825197137","598,702089067481","0,951304222245567"
17:15,136,"28,5","33,5","648,181055335848","579,633325576456","1,11826050493425"
17:19,145,"28,1","33,1","694,88502864848","583,095329103782","1,19171770714836"
17:25,139,"28,6","33,6","662,15143480149","574,926269958797","1,15171539273887"
17:30,141,"28,5","33,5","671,986802147558","605,408186012415","1,10997310190612"
17:34,131,"28,2","33,2","622,872948626002","580,132204813786","1,07367414437186"
17:39,128,"28,2","33,2","605,860636389208","600,340136655993","1,009195619943"
17:45,107,28,33,"498,232041482899","562,112698939998","0,886356138942312"
17:50,91,"27,5","32,5","419,687497374999","578,968865501365","0,724887852149988"
17:54,102,"27,2","32,2","473,875789242148","563,783966403229","0,840527254198683"
18:00,109,"27,1","32,1","511,055456164625","587,587836142983","0,86975159240748"
18:05,103,27,32,"478,117470864949","561,427119581491","0,851610928986394"
18:09,96,"27,1","32,1","444,734480088018","584,695550652136","0,760625730077794"
18:14,90,"26,9","31,9","415,104206311012","577,733779211336","0,718504302929405"
18:20,90,"26,9","31,9","415,104206311012","577,733779211336","0,718504302929405"
18:25,70,"26,7","31,7","315,525962304361","556,842243087429","0,566634385629434"
18:29,65,"26,4","31,4","289,669631467612","574,359302723309","0,504335230741717"
18:35,67,"26,4","31,4","299,171651360001","541,850034900672","0,552129984479642"
18:40,73,"26,1","31,1","330,708997788385","564,156206412008","0,586201115984649"
18:45,72,"26,1","31,1","325,724315969165","561,959609027088","0,57962229088508"
18:49,66,"26,3","31,3","294,405127490463","576,163843782604","0,510974665743772"
18:55,64,26,31,"286,309725339125","554,71860348796","0,516135070175881"
19:00,70,"25,9","30,9","314,098716050501","545,418476019831","0,575885727859135"
19:04,79,"25,9","30,9","359,083433541201","554,159890093294","0,647978029374787"
19:09,79,"26,2","31,2","359,002326115974","553,661426368767","0,648414913913219"
19:15,54,"26,1","31,1","237,05984295423","538,401834585387","0,440302814229423"
19:20,52,"25,4","30,4","227,863300871348","540,722487225598","0,421405261024922"
19:24,49,"24,8","29,8","213,338742916036","535,91493869623","0,398083217152044"
19:30,43,"24,5","29,5","185,383653640024","545,504629366381","0,339838827500606"
19:35,36,"24,2","29,2","152,32564509832","542,580382456228","0,280743001449392"
19:39,30,"23,8","28,8","124,714855871255","520,594261523099","0,239562486736556"
19:44,25,"23,7","28,7","101,970473819448","522,350070572062","0,195214817732816"
19:50,19,"23,8","28,8","75,2431017592545","503,052091214026","0,149573181532093"
19:55,19,"23,7","28,7","75,2334872348233","507,085365823924","0,148364540381839"
19:59,18,"23,7","28,7","70,8568478728178","503,276534940845","0,140791081946919"
08:03,56,"19,4","24,4","248,328662121947","580,041321605349","0,428122364514758"
08:09,57,20,25,"253,244482298323","555,054965782672","0,456251178549908"
08:14,58,"20,2","25,2","257,851836980517","553,642338697742","0,465737207864246"
08:18,132,"20,9","25,9","632,571755398328","603,096357551169","1,04887344696765"
08:24,148,"21,3","26,3","714,594664445887","600,224766566109","1,19054511618054"
08:29,162,"21,8","26,8","786,713276375071","600,312791345449","1,31050560260736"
08:33,177,22,27,"866,291776573004","623,277803283713","1,38989672343373"
08:38,193,"22,5","27,5","949,691902001825","627,907232259024","1,51247167290161"
08:44,208,23,28,"1024,42163010647","600,563949762751","1,70576610619263"
08:49,223,"23,5","28,5","1103,19093421243","639,251905287503","1,72575306399168"
08:53,241,"24,1","29,1","1205,21984095128","626,663030110577","1,92323431101179"
08:59,257,"25,1","30,1","1289,94441031762","621,244081369453","2,07638905383872"
09:04,276,"25,6","30,6","1391,08394502409","628,999705125303","2,21158123555396"
09:09,293,"26,4","31,4","1480,15107330551","617,414503113847","2,39733771370864"
09:13,310,27,32,"1569,61488395271","615,634832099518","2,5495875186266"
09:19,326,"27,9","32,9","1652,93192519164","612,732759418386","2,69763922327349"
09:24,342,"28,3","33,3","1737,73136951078","612,5776596348","2,83675276461561"
09:28,360,"28,9","33,9","1831,41800033866","610,269003174523","3,00100118277664"
09:33,376,"29,8","34,8","1924,21747623738","627,854539679969","3,06475043919918"
09:39,394,"30,7","35,7","2007,76611302815","605,700093204196","3,31478587432094"
09:44,412,"31,2","36,2","2115,84569847246","628,525586075616","3,3663636697487"
09:48,432,"31,5","36,5","2209,65537186167","606,196269570063","3,64511542347307"
09:54,449,"31,9","36,9","2305,03926393773","641,08515998356","3,5955274085534"
09:59,466,"32,2","37,2","2394,29601163355","609,538452192891","3,92804753009392"
10:03,475,"33,2","38,2","2441,61899604314","608,74381642435","4,01091383627478"
10:08,493,"33,7","38,7","2534,69111084326","640,958008652639","3,95453536210811"
10:14,511,"34,4","39,4","2624,02937050511","602,264302636432","4,35693990000458"
10:19,530,"34,9","39,9","2720,19074331214","599,601866508021","4,53666156703958"
10:23,541,"35,1","40,1","2778,66046045261","599,795338791191","4,63268098423812"
10:29,557,"34,6","39,6","2866,92399491318","645,310572532414","4,44270420622804"
10:34,571,"35,2","40,2","2953,13080250763","637,784884638043","4,63029286776466"
10:39,594,"35,3","40,3","3064,90948663494","643,722947332045","4,76122452887174"
10:43,612,"35,6","40,6","3163,83397938313","605,783493363452","5,22271407861706"
10:49,628,"36,4","41,4","3258,43255755257","612,645771098406","5,3186240912274"
10:54,646,"35,4","40,4","3360,72537883734","618,758508352517","5,43140067323758"
10:58,637,"36,9","41,9","3305,58287891233","612,422826196547","5,3975500871541"
11:03,672,"37,5","42,5","3495,48114744495","621,557026608565","5,62374970888437"
11:09,698,"38,3","43,3","3630,64321402183","621,782518211012","5,83908860041271"
11:14,697,"38,6","43,6","3618,48464675406","629,003126484156","5,75272919067948"
11:18,716,"39,1","44,1","3716,05241338283","607,875779755314","6,11317729237154"
11:24,733,40,45,"3794,14033387598","631,341864207309","6,00964477247168"
11:29,751,41,46,"3883,67245643968","629,508874171855","6,16936887752188"
11:33,759,"41,5","46,5","3939,87429168872","611,723536921894","6,44061255434703"
11:38,779,"42,1","47,1","4042,05567248926","609,987532627937","6,62645620817093"
